metodo,h,error_promedio,error_maximo,error_final,tiempo_segundos
Euler,0.2,0.2068485546723578,0.7882375329204532,0.7882375329204532,0.013365582999540493
Heun,0.2,0.00497213315704367,0.017488259504648624,0.017488259504648624,0.018228927001473494
RK4,0.2,6.345762934768349e-06,1.957352467579486e-05,1.957352467579486e-05,0.03403829300077632
Euler,0.1,0.07530068071185521,0.30481971670053826,0.30481971670053826,0.01521994100039592
Heun,0.1,0.001242873842321452,0.004411665525187827,0.004411665525187827,0.02376580299460329
RK4,0.1,4.010167772283322e-07,1.2493742038655529e-06,1.2493742038655529e-06,0.048657557999831624
Euler,0.05,0.031007631029119,0.12339935351697767,0.12339935351697767,0.03515238399995724
Heun,0.05,0.00031152719977226945,0.0011109082982803913,0.0011109082982803913,0.04921742899750825
RK4,0.05,2.760588793366053e-08,8.726081614923795e-08,8.726081614923795e-08,0.12605133400211344
